lag_seconds,r,p_value,n
-86400,,,1
-85500,,,0
-84600,,,0
-83700,,,0
-82800,,,0
-81900,,,1
-81000,,,0
-80100,,,0
-79200,,,0
-78300,,,0
-77400,,,0
-76500,,,0
-75600,,,0
-74700,,,0
-73800,,,1
-72900,,,0
-72000,,,0
-71100,,,0
-70200,,,1
-69300,,,0
-68400,,,0
-67500,,,1
-66600,,,0
-65700,,,0
-64800,,,1
-63900,,,0
-63000,,,0
-62100,,,0
-61200,,,0
-60300,,,0
-59400,,,1
-58500,,,0
-57600,,,0
-56700,,,0
-55800,,,0
-54900,,,0
-54000,,,0
-53100,,,0
-52200,,,1
-51300,,,0
-50400,,,0
-49500,,,0
-48600,,,0
-47700,,,0
-46800,,,0
-45900,,,0
-45000,,,0
-44100,,,0
-43200,,,0
-42300,,,0
-41400,,,0
-40500,,,2
-39600,,,0
-38700,,,0
-37800,,,0
-36900,,,0
-36000,,,0
-35100,,,1
-34200,,,0
-33300,,,0
-32400,,,0
-31500,,,0
-30600,,,0
-29700,,,0
-28800,,,0
-27900,,,0
-27000,,,0
-26100,,,0
-25200,,,0
-24300,,,1
-23400,,,0
-22500,,,2
-21600,,,0
-20700,,,0
-19800,,,0
-18900,,,0
-18000,,,0
-17100,,,0
-16200,,,0
-15300,,,0
-14400,,,0
-13500,,,0
-12600,,,1
-11700,,,0
-10800,,,0
-9900,,,0
-9000,,,1
-8100,,,0
-7200,,,0
-6300,,,0
-5400,,,1
-4500,,,0
-3600,,,0
-2700,,,0
-1800,,,1
-900,,,0
0,-0.030729206969732362,,500
900,,,0
1800,,,1
2700,,,0
3600,,,0
4500,,,0
5400,,,1
6300,,,0
7200,,,0
8100,,,0
9000,,,1
9900,,,0
10800,,,0
11700,,,0
12600,,,1
13500,,,0
14400,,,0
15300,,,0
16200,,,0
17100,,,0
18000,,,0
18900,,,0
19800,,,0
20700,,,0
21600,,,0
22500,,,2
23400,,,0
24300,,,1
25200,,,0
26100,,,0
27000,,,0
27900,,,0
28800,,,0
29700,,,0
30600,,,0
31500,,,0
32400,,,0
33300,,,0
34200,,,0
35100,,,1
36000,,,0
36900,,,0
37800,,,0
38700,,,0
39600,,,0
40500,,,2
41400,,,0
42300,,,0
43200,,,0
44100,,,0
45000,,,0
45900,,,0
46800,,,0
47700,,,0
48600,,,0
49500,,,0
50400,,,0
51300,,,0
52200,,,1
53100,,,0
54000,,,0
54900,,,0
55800,,,0
56700,,,0
57600,,,0
58500,,,0
59400,,,1
60300,,,0
61200,,,0
62100,,,0
63000,,,0
63900,,,0
64800,,,1
65700,,,0
66600,,,0
67500,,,1
68400,,,0
69300,,,0
70200,,,1
71100,,,0
72000,,,0
72900,,,0
73800,,,1
74700,,,0
75600,,,0
76500,,,0
77400,,,0
78300,,,0
79200,,,0
80100,,,0
81000,,,0
81900,,,1
82800,,,0
83700,,,0
84600,,,0
85500,,,0
86400,,,1
